Name,Portal Affiliations
Nerd Herd,"nerdherdpro.com (https://www.notion.so/nerdherdpro-com-1e4e607ad424802a92cac14d9c107ecb?pvs=21), becomeindelible.com (https://www.notion.so/becomeindelible-com-1e4e607ad42480afaa4ec18dbc31d917?pvs=21)"
Verified News Network,
VNN,
