Name,License,File,Tag,Description,Site
Gravity Forms,,Tools/gravityforms_2.9.6.1.zip,Plugin,Form Plugin,https://www.gravityforms.com/
Pro Theme,,Tools/pro.zip,Theme,Premium WP Page builder,https://theme.co/
Maxmind,,,Service,Used with Defender for lockout by location,maxmind.com
WP Migrate DB Pro,,Tools/wp-migrate-db-pro-2.7.0.zip,Plugin,For migrating Wordpress sites,
Advanced Custom Fields Pro,,Tools/advanced-custom-fields-pro.zip,Plugin,Creates custom fields & post types,https://www.advancedcustomfields.com/
Ultimate Addons for Elementor,,,Plugin,,https://store.brainstormforce.com/
Astra Pro,,,Plugin,,https://store.brainstormforce.com/
Schema Pro,,,Plugin,,https://store.brainstormforce.com/
