Name,Description,File,License,Site,Tag
Gravity Forms,Form Plugin,Tools/gravityforms_2.9.6.1.zip,,https://www.gravityforms.com/,Plugin
Pro Theme,Premium WP Page builder,Tools/pro.zip,,https://theme.co/,Theme
Maxmind,Used with Defender for lockout by location,,,maxmind.com,Service
WP Migrate DB Pro,For migrating Wordpress sites,Tools/wp-migrate-db-pro-2.7.0.zip,,,Plugin
Advanced Custom Fields Pro,Creates custom fields & post types,Tools/advanced-custom-fields-pro.zip,,https://www.advancedcustomfields.com/,Plugin
Ultimate Addons for Elementor,,,,https://store.brainstormforce.com/,Plugin
Astra Pro,,,,https://store.brainstormforce.com/,Plugin
Schema Pro,,,,https://store.brainstormforce.com/,Plugin
