Name,Primary Focus
Director of Operations,
Wordpress Tech I,
Wordpress Tech II,
Wordpress Tech III,
Network Admin,
Developer I,
Developer II,
Developer III,
Design I,
Design III,
Design II,
Content Writer II,
Project Manager,"Internal coordination, task flow, scope adherence, timeline execution"
Customer Success Manager,
Accounts Receivable,
,
,
,
,
Social Media Manager,
